// HSK 3.0/Level 5
安慰	an1wei4	to comfort; to console
挤	ji3	1 to crowd in 2 to cram in 3 to force others aside 4 to press 5 to squeeze 6 to find (time in one's busy schedule)
记忆	ji4yi4	1 to remember; to recall 2 memory
技能	ji4neng2	1 technical ability 2 skill
继承	ji4cheng2	1 to inherit 2 to succeed to (the throne etc) 3 to carry on (a tradition etc)
加热	jia1re4	to heat
加上	jia1shang4	1 plus 2 to put in 3 to add 4 to add on 5 to add into 6 in addition 7 on top of that
加速	jia1su4	to accelerate; to speed up; to expedite
加以	jia1yi3	1 in addition 2 moreover 3 (used before a disyllabic verb to indicate that the action of the verb is applied to sth or sb previously mentioned) 4 to apply (restrictions etc) to (sb) 5 to give (support, consideration etc) to (sth)
夹	jia1	1 to press from either side 2 to place in between 3 to sandwich 4 to carry sth under armpit 5 wedged between 6 between 7 to intersperse 8 to mix 9 to mingle 10 clip 11 folder 12 Taiwan pr. [jiá]
甲	jia3	1 first of the ten Heavenly Stems 十天干shítiāngān [十天干] 2 (used for an unspecified person or thing) 3 first (in a list, as a party to a contract etc) 4 letter "A" or roman "I" in list "A, B, C", or "I, II, III" etc 5 armor plating 6 shell or carapace 7 (of the fingers or toes) nail 8 bladed leather or metal armor (old) 9 ranking system used in the Imperial examinations (old) 10 civil administration unit in the baojia 保甲bǎojiǎ [保甲] system (old) 11 ancient Chinese compass point: 75°
价	jia4	1 price 2 value 3 (chemistry) valence
驾驶	jia4shi3	1 to drive (vehicle); to pilot (ship, airplane etc) 2 driver; pilot; captain
驾照	jia4zhao4	driver's license (abbr. for 驾驶执照jiàshǐzhízhào [驾驶执照])
坚定	jian1ding4	1 firm 2 steady 3 staunch 4 resolute
肩	jian1	1 shoulder 2 to shoulder (responsibilities etc)
艰苦	jian1ku3	1 difficult 2 hard 3 arduous
艰难	jian1nan2	1 difficult 2 hard 3 challenging
检验	jian3yan4	1 to inspect 2 to examine 3 to test
减轻	jian3qing1	1 to lighten 2 to ease 3 to alleviate
剪	jian3	1 (bound form) scissors or similar tool 2 to cut as with scissors 3 (bound form) to wipe out; to exterminate 4 to edit (video, audio etc)
剪刀	jian3dao1	scissors M: 把bǎ [把]
剪子	jian3zi5	1 clippers 2 scissors 3 shears M: 把bǎ [把]
间接	jian4jie1	indirect
建造	jian4zao4	to construct; to build
建筑	jian4zhu4	1 to construct 2 building M: 个gè [个]
健全	jian4quan2	1 robust 2 sound
键	jian4	1 key (on a piano or computer keyboard) 2 button (on a mouse or other device) 3 chemical bond 4 linchpin
键盘	jian4pan2	keyboard
将	jiang1	1 will 2 shall 3 to use 4 to take 5 to checkmate 6 just a short while ago 7 (introduces object of main verb, used in the same way as 把bǎ [把])
将要	jiang1yao4	1 will 2 shall 3 to be going to
